ferme_id,producteur_nom,coop_id,village,departement,region,surface_ha,annee_installation
180,Ibrahim Touré,92,Abidjan,Abidjan,Lagunes,1.81,2006
181,Yves N’Guessan,88,Daloa,Daloa,Sassandra-Marahoué,1.4,2009
182,Kouadio Yao,23,Agboville,Agboville,Agnéby-Tiassa,4.54,1992
183,Koffi Bamba,95,Oumé,Gagnoa,Fromager,1.57,1995
184,Salimata Assé,19,Bingerville,Abidjan,Lagunes,3.3,1995
185,Moussa Kouamé,80,Toumodi,Yamoussoukro,Lacs,2.61,2019
186,Cédric Dosso,73,Yamoussoukro,Yamoussoukro,Lacs,1.49,2018
187,Mariam Koné,61,Guiglo,Man,Montagnes,1.31,2009
188,Aristide Ouattara,13,Tiassalé,Agboville,Agnéby-Tiassa,1.74,2021
189,Aristide Dosso,112,Issia,Daloa,Sassandra-Marahoué,4.64,1993
190,Yves Kouassi,106,Danané,Man,Montagnes,4.91,2009
191,Cédric Yao,99,San-Pédro,San-Pédro,Bas-Sassandra,3.99,2003
192,Yao Coulibaly,114,Toumodi,Yamoussoukro,Lacs,4.89,1997
193,Adjoba Kacou,100,Danané,Man,Montagnes,3.65,1995
194,Fatou Yao,92,Guiglo,Man,Montagnes,3.84,2018
195,Mariam N’Guessan,112,Toumodi,Yamoussoukro,Lacs,3.83,2018
196,Yves Koné,9,Abidjan,Abidjan,Lagunes,2.03,1995
197,Cédric Fofana,67,Daloa,Daloa,Sassandra-Marahoué,4.99,2019
198,Fatou Fofana,112,Yamoussoukro,Yamoussoukro,Lacs,5.2,2008
199,Kouakou Koné,10,Man,Man,Montagnes,2.27,2018
200,Aya Koné,83,Agboville,Agboville,Agnéby-Tiassa,1.01,2009
201,Yves Assé,54,San-Pédro,San-Pédro,Bas-Sassandra,1.82,2015
202,Ibrahim Kouassi,73,San-Pédro,San-Pédro,Bas-Sassandra,1.09,2018
203,Kouadio Assé,51,Ouragahio,Gagnoa,Fromager,2.37,2005
204,Kouakou Yao,82,Anyama,Abidjan,Lagunes,6.45,2021
205,Adjoba Koné,77,Abidjan,Abidjan,Lagunes,2.12,1991
206,Fatou Traoré,103,Guiglo,Man,Montagnes,5.86,2014
207,Ismaël Yao,79,Man,Man,Montagnes,3.74,1993
208,Ismaël Traoré,69,Anyama,Abidjan,Lagunes,1.78,2005
209,Ismaël Ouattara,21,Ouragahio,Gagnoa,Fromager,3.44,1998
210,Aristide Traoré,7,Danané,Man,Montagnes,3.28,2012
211,Ismaël Bamba,70,Danané,Man,Montagnes,0.72,1999
212,Mariam Assé,26,Abidjan,Abidjan,Lagunes,2.62,2001
213,Arnaud Kouassi,17,Bingerville,Abidjan,Lagunes,1.22,2018
214,Gaston Touré,52,Daloa,Daloa,Sassandra-Marahoué,3.83,2013
215,Kouakou Soro,11,Ouragahio,Gagnoa,Fromager,4.58,1999
216,Aminata Coulibaly,21,Bingerville,Abidjan,Lagunes,2.69,2003
217,Aïcha Dosso,110,Bingerville,Abidjan,Lagunes,1.18,1992
218,Yves Fofana,51,Agboville,Agboville,Agnéby-Tiassa,3.29,1994
219,Yao N’Guessan,67,Danané,Man,Montagnes,0.77,2016
220,Koffi N’Guessan,23,Man,Man,Montagnes,5.52,2004
221,Aya Fofana,59,Lakota,Gagnoa,Gôh-Djiboua,1.96,2009
222,Abdou Kouamé,44,Soubré,San-Pédro,Bas-Sassandra,4.43,2010
223,Adjoba Ouattara,25,Tiassalé,Agboville,Agnéby-Tiassa,1.09,2001
224,Koffi Yao,54,Sassandra,San-Pédro,Bas-Sassandra,5.22,1997
225,Abdou Kouassi,27,San-Pédro,San-Pédro,Bas-Sassandra,3.66,1995
226,Didier Kouamé,66,Agboville,Agboville,Agnéby-Tiassa,8.99,2021
227,Adjoba Assé,26,San-Pédro,San-Pédro,Bas-Sassandra,5.49,2003
228,Salimata Ouattara,59,Anyama,Abidjan,Lagunes,1.94,1997
229,Aristide Bamba,95,Vavoua,Daloa,Sassandra-Marahoué,2.01,2012
230,Fatou Kouassi,111,Divo,Gagnoa,Gôh-Djiboua,2.51,1990
231,Yacouba Kouamé,78,Lakota,Gagnoa,Gôh-Djiboua,2.64,1990
232,Koffi Soro,1,Toumodi,Yamoussoukro,Lacs,3.6,2008
233,Arnaud Coulibaly,69,Soubré,San-Pédro,Bas-Sassandra,3.13,2003
234,Ibrahim Dosso,43,Guiglo,Man,Montagnes,12.59,2001
235,Koffi Kouamé,48,Sassandra,San-Pédro,Bas-Sassandra,4.26,2013
236,Ibrahim Kacou,9,Abidjan,Abidjan,Lagunes,1.95,1999
237,Kouakou Dosso,46,Lakota,Gagnoa,Gôh-Djiboua,1.14,2010
238,Aminata Assé,33,Ouragahio,Gagnoa,Fromager,3.57,2010
239,Koffi Kacou,90,Yamoussoukro,Yamoussoukro,Lacs,6.72,1995
240,Yves Kouassi,2,Oumé,Gagnoa,Fromager,3.93,2018
241,Cédric Soro,44,Oumé,Gagnoa,Fromager,4.86,2015
242,Mariam Kacou,63,Abidjan,Abidjan,Lagunes,2.45,2009
243,Didier Coulibaly,38,Sassandra,San-Pédro,Bas-Sassandra,1.06,1995
244,Yacouba Kouassi,61,Daloa,Daloa,Sassandra-Marahoué,1.38,2006
245,Cédric Coulibaly,109,Gagnoa,Gagnoa,Gôh-Djiboua,2.06,2021
246,Aya Diabaté,53,Bingerville,Abidjan,Lagunes,2.86,1990
247,Yacouba Koné,31,Vavoua,Daloa,Sassandra-Marahoué,1.96,2012
248,Kouadio Kouassi,101,Soubré,San-Pédro,Bas-Sassandra,1.55,2017
249,Koffi Yao,13,Gagnoa,Gagnoa,Gôh-Djiboua,1.0,2006
250,Adjoba Kacou,120,Ouragahio,Gagnoa,Fromager,1.55,2015
251,Yves Assé,60,Tiassalé,Agboville,Agnéby-Tiassa,1.31,2019
252,Aïcha Dosso,8,Oumé,Gagnoa,Fromager,3.38,2020
253,Ibrahim Dosso,86,Sassandra,San-Pédro,Bas-Sassandra,2.65,2008
254,Moussa Traoré,117,San-Pédro,San-Pédro,Bas-Sassandra,6.34,2008
255,Aristide Bamba,21,Yamoussoukro,Yamoussoukro,Lacs,2.58,2019
256,Fatou Kacou,39,Oumé,Gagnoa,Fromager,0.83,1998
257,Cédric Dosso,65,Yamoussoukro,Yamoussoukro,Lacs,2.28,1999
258,Arnaud Fofana,53,Agboville,Agboville,Agnéby-Tiassa,0.86,2003
259,Arnaud Koné,9,Oumé,Gagnoa,Fromager,1.94,2019
260,Abdou Bamba,53,Oumé,Gagnoa,Fromager,8.43,1994
261,Adjoba Dosso,9,San-Pédro,San-Pédro,Bas-Sassandra,3.78,1991
262,Fatou Koné,64,Bingerville,Abidjan,Lagunes,1.67,2001
263,Adjoba Fofana,21,Abidjan,Abidjan,Lagunes,1.17,2003
264,Yacouba Bamba,91,Bingerville,Abidjan,Lagunes,1.74,2011
265,Cédric Ouattara,82,Yamoussoukro,Yamoussoukro,Lacs,11.05,2008
266,Kouadio Traoré,87,Gagnoa,Gagnoa,Gôh-Djiboua,1.65,2006
267,Aristide Koné,71,Guiglo,Man,Montagnes,5.43,2021
268,Fatou Kouassi,94,Abidjan,Abidjan,Lagunes,8.43,2007
269,Yacouba Yao,39,Gagnoa,Gagnoa,Gôh-Djiboua,7.74,2019
270,Ibrahim Kouamé,104,Vavoua,Daloa,Sassandra-Marahoué,4.02,2020
271,Ibrahim Assé,108,Anyama,Abidjan,Lagunes,1.94,2012
272,Ismaël Assé,107,Agboville,Agboville,Agnéby-Tiassa,3.45,2004
273,Adjoba Coulibaly,51,Lakota,Gagnoa,Gôh-Djiboua,1.25,2014
274,Aristide Assé,34,Gagnoa,Gagnoa,Gôh-Djiboua,0.99,1999
275,Cédric N’Guessan,75,Toumodi,Yamoussoukro,Lacs,3.58,2016
276,Aminata Coulibaly,92,Agboville,Agboville,Agnéby-Tiassa,4.33,1997
277,Arnaud Diabaté,77,Agboville,Agboville,Agnéby-Tiassa,1.57,2020
278,Salimata Dosso,36,Tiassalé,Agboville,Agnéby-Tiassa,4.97,2008
279,Salimata Kouamé,32,Danané,Man,Montagnes,4.15,2021
280,Gaston Fofana,11,Guiglo,Man,Montagnes,2.03,2014
281,Aristide Kouamé,62,Toumodi,Yamoussoukro,Lacs,4.82,2018
282,Yao Fofana,58,Soubré,San-Pédro,Bas-Sassandra,2.71,2001
283,Yao Fofana,52,Abidjan,Abidjan,Lagunes,2.79,1997
284,Mariam Diabaté,74,Soubré,San-Pédro,Bas-Sassandra,0.77,2005
285,Kouakou Dosso,12,Oumé,Gagnoa,Fromager,2.95,1990
286,Ibrahim N’Guessan,50,Daloa,Daloa,Sassandra-Marahoué,7.2,2017
287,Yves Traoré,6,Tiassalé,Agboville,Agnéby-Tiassa,3.62,2013
288,Kouadio Dosso,38,Divo,Gagnoa,Gôh-Djiboua,0.95,1995
289,Yves Diabaté,76,Gagnoa,Gagnoa,Gôh-Djiboua,1.36,1991
290,Koffi Kacou,98,Man,Man,Montagnes,2.1,2002
291,Abdou Coulibaly,42,Yamoussoukro,Yamoussoukro,Lacs,3.63,2004
292,Adjoba Coulibaly,92,Sassandra,San-Pédro,Bas-Sassandra,4.29,2005
293,Abdou Diabaté,47,Abidjan,Abidjan,Lagunes,2.49,2017
294,Cédric Ouattara,79,Abidjan,Abidjan,Lagunes,3.81,2019
295,Fatou Soro,82,Ouragahio,Gagnoa,Fromager,4.96,1995
296,Kouadio Koné,30,Issia,Daloa,Sassandra-Marahoué,7.25,2020
297,Kouadio Touré,62,Lakota,Gagnoa,Gôh-Djiboua,2.06,2012
298,Adjoba Kouamé,115,Vavoua,Daloa,Sassandra-Marahoué,3.6,1992
299,Kouadio Assé,25,Bingerville,Abidjan,Lagunes,6.36,2010
300,Moussa Diabaté,14,Bingerville,Abidjan,Lagunes,1.04,1996
301,Fatou N’Guessan,19,Danané,Man,Montagnes,2.34,2020
302,Salimata Diabaté,60,Lakota,Gagnoa,Gôh-Djiboua,4.01,2002
303,Yao Kouamé,66,Oumé,Gagnoa,Fromager,3.75,2007
304,Ibrahim Traoré,4,Ouragahio,Gagnoa,Fromager,2.99,2005
305,Mariam Fofana,82,Soubré,San-Pédro,Bas-Sassandra,3.46,2000
306,Didier Kacou,38,Lakota,Gagnoa,Gôh-Djiboua,2.25,2007
307,Koffi Kouassi,59,Gagnoa,Gagnoa,Gôh-Djiboua,2.22,1996
308,Yacouba Yao,110,Anyama,Abidjan,Lagunes,1.48,2007
309,Fatou N’Guessan,83,Abidjan,Abidjan,Lagunes,4.58,2019
310,Yacouba Traoré,42,Yamoussoukro,Yamoussoukro,Lacs,2.6,2017
311,Kouadio Ouattara,27,Anyama,Abidjan,Lagunes,1.99,2016
312,Yves Diabaté,9,Sassandra,San-Pédro,Bas-Sassandra,3.05,2005
313,Salimata Dosso,5,Abidjan,Abidjan,Lagunes,4.65,2011
314,Adjoba Diabaté,117,Danané,Man,Montagnes,1.71,1998
315,Gaston Dosso,64,Anyama,Abidjan,Lagunes,2.46,2018
316,Arnaud Traoré,5,Agboville,Agboville,Agnéby-Tiassa,3.23,2016
317,Koffi Assé,101,Guiglo,Man,Montagnes,2.67,1995
318,Arnaud Koné,16,Issia,Daloa,Sassandra-Marahoué,3.45,2001
319,Salimata Assé,92,Ouragahio,Gagnoa,Fromager,4.09,1997
320,Aristide N’Guessan,50,Sassandra,San-Pédro,Bas-Sassandra,2.57,2013
321,Koffi Kouamé,13,Bingerville,Abidjan,Lagunes,0.87,1997
322,Koffi Touré,84,Anyama,Abidjan,Lagunes,1.26,2011
323,Arnaud Fofana,44,Sassandra,San-Pédro,Bas-Sassandra,4.26,2002
324,Aya Kacou,102,Ouragahio,Gagnoa,Fromager,7.56,2000
325,Aïcha Coulibaly,119,Anyama,Abidjan,Lagunes,2.28,1992
326,Koffi Assé,95,Bingerville,Abidjan,Lagunes,5.39,2001
327,Gaston Traoré,95,Divo,Gagnoa,Gôh-Djiboua,3.31,2005
328,Koffi Kacou,59,Yamoussoukro,Yamoussoukro,Lacs,1.3,1996
329,Cédric Touré,99,Anyama,Abidjan,Lagunes,3.66,2009
330,Salimata Kouamé,41,Lakota,Gagnoa,Gôh-Djiboua,1.91,2000
331,Arnaud Kouassi,107,Vavoua,Daloa,Sassandra-Marahoué,1.98,2018
332,Kouakou Koné,37,Vavoua,Daloa,Sassandra-Marahoué,6.81,2005
333,Aya Diabaté,80,Yamoussoukro,Yamoussoukro,Lacs,4.39,2006
334,Adjoba Ouattara,94,Abidjan,Abidjan,Lagunes,3.56,2000
335,Aya Ouattara,91,Anyama,Abidjan,Lagunes,6.74,1993
336,Didier Assé,62,Abidjan,Abidjan,Lagunes,1.08,1998
337,Mariam N’Guessan,57,Vavoua,Daloa,Sassandra-Marahoué,6.2,2019
338,Kouakou Touré,48,Ouragahio,Gagnoa,Fromager,4.23,1994
339,Aïcha Assé,120,Gagnoa,Gagnoa,Gôh-Djiboua,5.18,2005
340,Yves Soro,31,Sassandra,San-Pédro,Bas-Sassandra,6.23,1998
341,Mariam Touré,102,Ouragahio,Gagnoa,Fromager,2.58,2002
342,Moussa Kacou,88,Daloa,Daloa,Sassandra-Marahoué,0.78,1992
343,Moussa Kouamé,111,Tiassalé,Agboville,Agnéby-Tiassa,3.36,2016
